inciter_tweete,nancys_location,three_minute,trump,terrorist,stormed_cap,,,,,,,,,,,,,,,,,,,,,
inciter_tweete,nancys_location,three_minute,trump,terrorist,stormed_cap,,,,,,,,,,,,,,,,,,,,,
inciter_tweete,nancys_location,three_minute,trump,terrorist,stormed_cap,,,,,,,,,,,,,,,,,,,,,
inciter_tweete,nancys_location,three_minute,trump,terrorist,stormed_cap,,,,,,,,,,,,,,,,,,,,,
inciter_tweete,nancys_location,three_minute,trump,terrorist,stormed_cap,,,,,,,,,,,,,,,,,,,,,
inciter_tweete,nancys_location,three_minute,trump,terrorist,stormed_cap,,,,,,,,,,,,,,,,,,,,,
inciter_tweete,nancys_location,three_minute,trump,terrorist,stormed_cap,,,,,,,,,,,,,,,,,,,,,
inciter_tweete,nancys_location,three_minute,trump,terrorist,stormed_cap,,,,,,,,,,,,,,,,,,,,,
inciter_tweete,nancys_location,three_minute,trump,terrorist,stormed_cap,,,,,,,,,,,,,,,,,,,,,
inciter_tweete,nancys_location,three_minute,trump,terrorist,stormed_cap,,,,,,,,,,,,,,,,,,,,,
inciter_tweete,nancys_location,three_minute,trump,terrorist,stormed_cap,,,,,,,,,,,,,,,,,,,,,
bam,stupid,much,obam,biden,put,way,,,,,,,,,,,,,,,,,,,,
inciter_tweete,nancys_location,three_minute,trump,terrorist,stormed_cap,,,,,,,,,,,,,,,,,,,,,
inciter_tweete,nancys_location,three_minute,trump,terrorist,stormed_cap,,,,,,,,,,,,,,,,,,,,,
inciter_tweete,nancys_location,three_minute,trump,terrorist,stormed_cap,,,,,,,,,,,,,,,,,,,,,
inciter_tweete,nancys_location,three_minute,trump,terrorist,stormed_cap,,,,,,,,,,,,,,,,,,,,,
inciter_tweete,nancys_location,three_minute,trump,terrorist,stormed_cap,,,,,,,,,,,,,,,,,,,,,
inciter_tweete,nancys_location,three_minute,trump,terrorist,stormed_cap,,,,,,,,,,,,,,,,,,,,,
inciter_tweete,nancys_location,three_minute,trump,terrorist,stormed_cap,,,,,,,,,,,,,,,,,,,,,
